p,beta,classical_value,quantum_value,gap,classical_oracle_value,classical_oracle_abs_error,deterministic_strategy_count
0.0,0.0,1.0,1.0,0.0,1.0,0.0,16
0.01,0.0,0.9999,0.9999,0.0,0.9999,0.0,16
0.02,0.0,0.9995999999999999,0.9995999999999999,0.0,0.9995999999999998,1.1102230246251565e-16,16
0.03,0.0,0.9991,0.9991,0.0,0.9991,0.0,16
0.04,0.0,0.9984,0.9984,0.0,0.9984,0.0,16
0.05,0.0,0.9975,0.9975,0.0,0.9974999999999999,1.1102230246251565e-16,16
0.06,0.0,0.9964,0.9964,0.0,0.9964,0.0,16
0.07,0.0,0.9950999999999999,0.9950999999999999,0.0,0.9951,1.1102230246251565e-16,16
0.08,0.0,0.9936,0.9936,0.0,0.9936,0.0,16
0.09,0.0,0.9919,0.9919,0.0,0.9919,0.0,16
0.1,0.0,0.99,0.99,0.0,0.99,0.0,16
0.11,0.0,0.9879,0.9879,0.0,0.9879,0.0,16
0.12,0.0,0.9856,0.9856,0.0,0.9856,0.0,16
0.13,0.0,0.9831000000000001,0.9831000000000001,0.0,0.9831,1.1102230246251565e-16,16
0.14,0.0,0.9803999999999999,0.9803999999999999,0.0,0.9803999999999999,0.0,16
0.15,0.0,0.9775,0.9774999999999999,-1.1102230246251565e-16,0.9774999999999998,2.220446049250313e-16,16
0.16,0.0,0.9743999999999999,0.9743999999999999,0.0,0.9743999999999998,1.1102230246251565e-16,16
0.17,0.0,0.9711,0.9711,0.0,0.9711,0.0,16
0.18,0.0,0.9676,0.9676,0.0,0.9676,0.0,16
0.19,0.0,0.9639000000000001,0.9639000000000001,0.0,0.9639000000000002,1.1102230246251565e-16,16
0.2,0.0,0.9600000000000001,0.9600000000000002,1.1102230246251565e-16,0.9600000000000002,1.1102230246251565e-16,16
0.21,0.0,0.9559,0.9559000000000001,1.1102230246251565e-16,0.9559,0.0,16
0.22,0.0,0.9516,0.9516,0.0,0.9516,0.0,16
0.23,0.0,0.9471,0.9471,0.0,0.9471,0.0,16
0.24,0.0,0.9424,0.9424,0.0,0.9424,0.0,16
0.25,0.0,0.9375,0.9375,0.0,0.9375,0.0,16
0.26,0.0,0.9324,0.9324,0.0,0.9324,0.0,16
0.27,0.0,0.9271,0.9271,0.0,0.9271,0.0,16
0.28,0.0,0.9216,0.9216,0.0,0.9216,0.0,16
0.29,0.0,0.9158999999999999,0.9158999999999999,0.0,0.9158999999999999,0.0,16
0.3,0.0,0.9099999999999999,0.9101219330881976,0.00012193308819763438,0.9099999999999999,0.0,16
0.31,0.0,0.9038999999999999,0.9046065001949424,0.0007065001949424499,0.9038999999999999,0.0,16
0.32,0.0,0.8976,0.899373910014162,0.00177391001416205,0.8976,0.0,16
0.33,0.0,0.8911,0.8944241625458562,0.003324162545856213,0.8910999999999999,1.1102230246251565e-16,16
0.34,0.0,0.8843999999999999,0.889757257790025,0.0053572577900251606,0.8843999999999999,0.0,16
0.35,0.0,0.8775,0.8853731957466684,0.007873195746668449,0.8775,0.0,16
0.36,0.0,0.8704000000000001,0.8812719764157865,0.01087197641578641,0.8704000000000001,0.0,16
