cross_section,varied_value,p,beta,classical_value,ideal_quantum_value,ideal_gap,strategy_transition,strategy_no_advantage_detected_to,strategy_threshold_upper_bound,strategy_evaluations,strategy_runtime_s,npa_threshold_lower_bound,npa_transition_upper_bound,npa_evaluations,npa_runtime_s,npa_inaccurate_solver_calls,numerical_bracket_width,numerical_bracket_order_violation
fig5b_beta_at_p_0_5,0.0,0.5,0.0,0.75,0.8535533905932737,0.10355339059327373,0.6686197916666666,0.66796875,0.6692708333333333,10,25.16460508297314,0.6666666666666666,0.66796875,10,0.4208515419741161,0,0.0026041666666666297,0.0
fig5b_beta_at_p_0_5,0.1,0.5,0.1,0.75,0.8201562118716424,0.07015621187164245,0.8470052083333333,0.8463541666666666,0.84765625,10,26.454471958975773,0.8463541666666666,0.84765625,10,0.41222633299184963,0,0.0013020833333333703,0.0
fig5b_beta_at_p_0_5,0.2,0.5,0.2,0.75,0.791547594742265,0.04154759474226499,0.9147135416666666,0.9140625,0.9153645833333333,10,27.489459666976472,0.9140625,0.9153645833333333,10,0.3805568750249222,0,0.0013020833333332593,0.0
fig5b_beta_at_p_0_5,0.3,0.5,0.3,0.75,0.7692582403567252,0.019258240356725187,0.9615885416666666,0.9609375,0.9622395833333333,10,29.91746758398949,0.9609375,0.9622395833333333,10,0.38679495797259733,0,0.0013020833333332593,0.0
fig5b_beta_at_p_0_5,0.4,0.5,0.4,0.75,0.7549509756796392,0.004950975679639202,0.990234375,0.9895833333333333,0.9908854166666666,10,27.678562457993394,0.9895833333333333,0.9908854166666666,10,0.37371087505016476,0,0.0013020833333333703,0.0
fig5b_beta_at_p_0_5,0.5,0.5,0.5,0.75,0.75,0.0,1.0,1.0,1.0,1,1.5966160419920925,1.0,1.0,2,0.09443204198032618,0,0.0,0.0
fig5b_beta_at_p_0_5,0.6,0.5,0.6,0.75,0.7549509756796392,0.004950975679639202,0.990234375,0.9895833333333333,0.9908854166666666,10,27.8404217089992,0.9895833333333333,0.9908854166666666,10,0.37591516599059105,0,0.0013020833333333703,0.0
fig5b_beta_at_p_0_5,0.7,0.5,0.7,0.75,0.7692582403567252,0.019258240356725187,0.9615885416666666,0.9609375,0.9622395833333333,10,29.482259999989765,0.9609375,0.9622395833333333,10,0.40340899996226653,0,0.0013020833333332593,0.0
fig5b_beta_at_p_0_5,0.8,0.5,0.8,0.75,0.791547594742265,0.04154759474226499,0.9147135416666666,0.9140625,0.9153645833333333,10,27.68922008300433,0.9140625,0.9153645833333333,10,0.38685658294707537,0,0.0013020833333332593,0.0
fig5b_beta_at_p_0_5,0.9,0.5,0.9,0.75,0.8201562118716424,0.07015621187164245,0.8470052083333333,0.8463541666666666,0.84765625,10,26.666555291012628,0.8463541666666666,0.84765625,10,0.38490183296380565,0,0.0013020833333333703,0.0
fig5b_beta_at_p_0_5,1.0,0.5,1.0,0.75,0.8535533905932737,0.10355339059327373,0.669921875,0.6692708333333333,0.6705729166666666,10,26.73475191698526,0.6666666666666666,0.66796875,10,0.3843199590337463,0,0.00390625,0.0
fig5c_p_at_beta_0_4,0.0,0.0,0.4,1.0,1.0,0.0,1.0,1.0,1.0,1,1.9340784999949392,1.0,1.0,2,0.08742654201341793,0,0.0,0.0
fig5c_p_at_beta_0_4,0.1,0.1,0.4,0.9180000000000001,0.9181196001146084,0.00011960011460832032,0.9993489583333333,0.9986979166666666,1.0,10,34.1791648750077,0.9986979166666666,1.0,10,0.42388495901832357,0,0.0013020833333333703,0.0
fig5c_p_at_beta_0_4,0.2,0.2,0.4,0.8400000000000002,0.8467333269243095,0.006733326924309391,0.9876302083333333,0.9869791666666666,0.98828125,10,32.36227233300451,0.9817708333333333,0.9830729166666666,10,0.39549950003856793,0,0.006510416666666741,0.0
fig5c_p_at_beta_0_4,0.3,0.3,0.4,0.7899999999999999,0.7957431317883814,0.005743131788381373,0.990234375,0.9895833333333333,0.9908854166666666,10,33.38697104199673,0.9869791666666666,0.98828125,10,0.383132208022289,0,0.00390625,0.0
fig5c_p_at_beta_0_4,0.4,0.4,0.4,0.76,0.7651490147068248,0.005149014706824828,0.990234375,0.9895833333333333,0.9908854166666666,10,30.76829783298308,0.9895833333333333,0.9908854166666666,10,0.39192795898998156,0,0.0013020833333333703,0.0
fig5c_p_at_beta_0_4,0.5,0.5,0.4,0.75,0.7549509756796392,0.004950975679639202,0.990234375,0.9895833333333333,0.9908854166666666,10,27.678562457993394,0.9895833333333333,0.9908854166666666,10,0.37371087505016476,0,0.0013020833333333703,0.0
fig5c_p_at_beta_0_4,0.6,0.6,0.4,0.76,0.7651490147068248,0.005149014706824828,0.990234375,0.9895833333333333,0.9908854166666666,10,29.863328250008635,0.9895833333333333,0.9908854166666666,10,0.38402958400547504,0,0.0013020833333333703,0.0
fig5c_p_at_beta_0_4,0.7,0.7,0.4,0.79,0.7957431317883814,0.005743131788381373,0.990234375,0.9895833333333333,0.9908854166666666,10,32.67117112499545,0.9869791666666666,0.98828125,10,0.38558991701574996,0,0.00390625,0.0
fig5c_p_at_beta_0_4,0.8,0.8,0.4,0.8400000000000001,0.8467333269243095,0.006733326924309391,0.9876302083333333,0.9869791666666666,0.98828125,10,30.36874295899179,0.9817708333333333,0.9830729166666666,10,0.4091922919615172,0,0.006510416666666741,0.0
fig5c_p_at_beta_0_4,0.9,0.9,0.4,0.918,0.9181196001146084,0.00011960011460832032,0.9993489583333333,0.9986979166666666,1.0,10,31.93190441702609,0.9986979166666666,1.0,10,0.41988066700287163,0,0.0013020833333333703,0.0
fig5c_p_at_beta_0_4,1.0,1.0,0.4,1.0,1.0,0.0,1.0,1.0,1.0,1,2.0282960000040475,1.0,1.0,2,0.08340508298715577,0,0.0,0.0
