nu,p,beta,classical_value,noiseless_quantum_value,noisy_quantum_value,signed_noisy_gap,plotted_noisy_gap,theoretical_advantage
0.01,0.0,0.0,1.0,1.0,0.995,-0.0050000000000000044,0.0,False
0.01,0.01,0.0,0.9999,0.9999,0.994901,-0.004998999999999976,0.0,False
0.01,0.02,0.0,0.9995999999999999,0.9995999999999999,0.9946039999999999,-0.0049960000000000004,0.0,False
0.01,0.03,0.0,0.9991,0.9991,0.994109,-0.004990999999999968,0.0,False
0.01,0.04,0.0,0.9984,0.9984,0.993416,-0.0049839999999999884,0.0,False
0.01,0.05,0.0,0.9975,0.9975,0.9925250000000001,-0.004974999999999952,0.0,False
0.01,0.06,0.0,0.9964,0.9964,0.991436,-0.0049639999999999684,0.0,False
0.01,0.07,0.0,0.9950999999999999,0.9950999999999999,0.9901489999999998,-0.004951000000000039,0.0,False
0.01,0.08,0.0,0.9936,0.9936,0.988664,-0.0049360000000000515,0.0,False
0.01,0.09,0.0,0.9919,0.9919,0.986981,-0.004919000000000007,0.0,False
0.01,0.1,0.0,0.99,0.99,0.9851,-0.0049000000000000155,0.0,False
0.01,0.11,0.0,0.9879,0.9879,0.983021,-0.004878999999999967,0.0,False
0.01,0.12,0.0,0.9856,0.9856,0.9807440000000001,-0.0048559999999999715,0.0,False
0.01,0.13,0.0,0.9831000000000001,0.9831000000000001,0.978269,-0.00483100000000003,0.0,False
0.01,0.14,0.0,0.9803999999999999,0.9803999999999999,0.9755959999999999,-0.0048040000000000305,0.0,False
0.01,0.15,0.0,0.9775,0.9774999999999999,0.972725,-0.004775000000000085,0.0,False
0.01,0.16,0.0,0.9743999999999999,0.9743999999999999,0.969656,-0.0047439999999999705,0.0,False
0.01,0.17,0.0,0.9711,0.9711,0.9663889999999999,-0.004711000000000021,0.0,False
0.01,0.18,0.0,0.9676,0.9676,0.962924,-0.0046760000000000135,0.0,False
0.01,0.19,0.0,0.9639000000000001,0.9639000000000001,0.959261,-0.00463900000000006,0.0,False
0.01,0.2,0.0,0.9600000000000001,0.9600000000000002,0.9554000000000001,-0.0045999999999999375,0.0,False
0.01,0.21,0.0,0.9559,0.9559000000000001,0.9513410000000001,-0.004558999999999869,0.0,False
0.01,0.22,0.0,0.9516,0.9516,0.947084,-0.0045159999999999645,0.0,False
0.01,0.23,0.0,0.9471,0.9471,0.942629,-0.004471000000000003,0.0,False
0.01,0.24,0.0,0.9424,0.9424,0.937976,-0.0044239999999999835,0.0,False
0.01,0.25,0.0,0.9375,0.9375,0.933125,-0.004375000000000018,0.0,False
0.01,0.26,0.0,0.9324,0.9324,0.928076,-0.0043239999999999945,0.0,False
0.01,0.27,0.0,0.9271,0.9271,0.922829,-0.004271000000000025,0.0,False
0.01,0.28,0.0,0.9216,0.9216,0.917384,-0.0042159999999999975,0.0,False
0.01,0.29,0.0,0.9158999999999999,0.9158999999999999,0.9117409999999999,-0.004159000000000024,0.0,False
0.01,0.3,0.0,0.9099999999999999,0.9101219330881976,0.9060207137573155,-0.003979286242684399,0.0,False
0.01,0.31,0.0,0.9038999999999999,0.9046065001949424,0.900560435192993,-0.003339564807006923,0.0,False
0.01,0.32,0.0,0.8976,0.899373910014162,0.8953801709140203,-0.002219829085979619,0.0,False
0.01,0.33,0.0,0.8911,0.8944241625458562,0.8904799209203976,-0.0006200790796023758,0.0,False
0.01,0.34,0.0,0.8843999999999999,0.889757257790025,0.8858596852121248,0.001459685212124917,0.001459685212124917,True
0.01,0.35,0.0,0.8775,0.8853731957466684,0.8815194637892018,0.004019463789201816,0.004019463789201816,True
0.01,0.36,0.0,0.8704000000000001,0.8812719764157865,0.8774592566516286,0.007059256651628543,0.007059256651628543,True
0.01,0.37,0.0,0.8631,0.8774535997973791,0.8736790637994053,0.01057906379940532,0.01057906379940532,True
0.01,0.38,0.0,0.8556,0.8739180658914464,0.870178885232532,0.014578885232531924,0.014578885232531924,True
0.01,0.39,0.0,0.8479,0.8706653746979882,0.8669587209510083,0.019058720951008357,0.019058720951008357,True
0.01,0.4,0.0,0.84,0.8676955262170047,0.8640185709548347,0.024018570954834728,0.024018570954834728,True
0.01,0.41,0.0,0.8319000000000001,0.8650085204484959,0.8613584352440109,0.029458435244010817,0.029458435244010817,True
0.01,0.42,0.0,0.8236000000000001,0.8626043573924616,0.858978313818537,0.035378313818536844,0.035378313818536844,True
0.01,0.43,0.0,0.8151,0.8604830370489019,0.856878206678413,0.04177820667841292,0.04177820667841292,True
