panel,input_parameter,input_value,beta1,beta2,classical_bias,quantum_bias,classical_value,quantum_value,gap,classical_oracle_value,classical_oracle_abs_error,deterministic_strategy_count
b,p11,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,16
b,p11,0.005,0.0,0.0,0.995,0.9956279584089915,0.9975,0.9978139792044958,0.0003139792044957179,0.9974999999999999,1.1102230246251565e-16,16
b,p11,0.01,0.0,0.0,0.99,0.9912619507991017,0.995,0.9956309753995509,0.000630975399550926,0.995,0.0,16
b,p11,0.015,0.0,0.0,0.985,0.9869021581926756,0.9924999999999999,0.9934510790963378,0.0009510790963378479,0.9924999999999999,0.0,16
b,p11,0.02,0.0,0.0,0.98,0.9825487689338038,0.99,0.9912743844669019,0.0012743844669018678,0.99,0.0,16
b,p11,0.025,0.0,0.0,0.975,0.9782019790626603,0.9875,0.9891009895313301,0.0016009895313300326,0.9874999999999999,1.1102230246251565e-16,16
b,p11,0.03,0.0,0.0,0.97,0.973861992713066,0.985,0.9869309963565329,0.0019309963565329324,0.985,0.0,16
b,p11,0.035,0.0,0.0,0.965,0.9695290225349802,0.9824999999999999,0.9847645112674901,0.0022645112674901657,0.9824999999999999,0.0,16
b,p11,0.04,0.0,0.0,0.9600000000000001,0.9652032901437644,0.98,0.9826016450718822,0.002601645071882208,0.9800000000000001,1.1102230246251565e-16,16
b,p11,0.045,0.0,0.0,0.9550000000000001,0.9608850265982187,0.9775,0.9804425132991094,0.0029425132991093284,0.9775,0.0,16
b,p11,0.05,0.0,0.0,0.9500000000000001,0.9565744729095703,0.9750000000000001,0.9782872364547852,0.003287236454785125,0.9750000000000001,0.0,16
b,p11,0.055,0.0,0.0,0.9450000000000001,0.9522718805837763,0.9725,0.9761359402918881,0.0036359402918880734,0.9725,0.0,16
b,p11,0.06,0.0,0.0,0.94,0.9479775121997166,0.97,0.9739887560998584,0.0039887560998583815,0.97,0.0,16
b,p11,0.065,0.0,0.0,0.935,0.9436916420260832,0.9675,0.9718458210130416,0.004345821013041595,0.9675,0.0,16
b,p11,0.07,0.0,0.0,0.9299999999999999,0.9394145566800238,0.965,0.9697072783400119,0.0047072783400119445,0.9650000000000001,1.1102230246251565e-16,16
b,p11,0.075,0.0,0.0,0.9249999999999999,0.9351465558308777,0.9624999999999999,0.9675732779154389,0.0050732779154389895,0.9624999999999999,0.0,16
b,p11,0.08,0.0,0.0,0.9199999999999999,0.930887952952653,0.96,0.9654439764763265,0.005443976476326551,0.96,0.0,16
b,p11,0.085,0.0,0.0,0.9149999999999999,0.926639076129233,0.9575,0.9633195380646165,0.005819538064616436,0.9574999999999999,1.1102230246251565e-16,16
b,p11,0.09,0.0,0.0,0.91,0.9224002689166787,0.9550000000000001,0.9612001344583394,0.006200134458339335,0.9550000000000001,0.0,16
b,p11,0.095,0.0,0.0,0.905,0.9181718912674143,0.9525,0.9590859456337071,0.006585945633707069,0.9525,0.0,16
b,p11,0.1,0.0,0.0,0.9,0.9139543205215456,0.95,0.9569771602607728,0.0069771602607728855,0.9500000000000001,1.1102230246251565e-16,16
b,p11,0.105,0.0,0.0,0.895,0.9097479524710769,0.9475,0.9548739762355385,0.007373976235538482,0.9475,0.0,16
b,p11,0.11,0.0,0.0,0.89,0.9055532025033662,0.9450000000000001,0.9527766012516832,0.007776601251683113,0.9450000000000001,0.0,16
b,p11,0.115,0.0,0.0,0.885,0.9013705068308013,0.9425,0.9506852534154007,0.008185253415400662,0.9425,0.0,16
b,p11,0.12,0.0,0.0,0.88,0.8972003238143819,0.94,0.9486001619071909,0.008600161907190929,0.9400000000000001,1.1102230246251565e-16,16
b,p11,0.125,0.0,0.0,0.875,0.8930431353897004,0.9375,0.9465215676948502,0.009021567694850186,0.9375,0.0,16
b,p11,0.13,0.0,0.0,0.87,0.8888994486046944,0.935,0.9444497243023472,0.00944972430234714,0.9349999999999999,1.1102230246251565e-16,16
b,p11,0.135,0.0,0.0,0.865,0.8847697972795423,0.9325,0.9423848986397712,0.009884898639771156,0.9325,0.0,16
b,p11,0.14,0.0,0.0,0.86,0.8806547438001897,0.9299999999999999,0.9403273719000949,0.010327371900094917,0.93,1.1102230246251565e-16,16
b,p11,0.145,0.0,0.0,0.855,0.8765548810582497,0.9275,0.9382774405291249,0.010777440529124882,0.9275,0.0,16
b,p11,0.15,0.0,0.0,0.85,0.8724708345514234,0.925,0.9362354172757117,0.011235417275711646,0.9249999999999999,1.1102230246251565e-16,16
b,p11,0.155,0.0,0.0,0.845,0.8684032646601829,0.9225,0.9342016323300915,0.011701632330091472,0.9225,0.0,16
b,p11,0.16,0.0,0.0,0.84,0.8643528691182445,0.9199999999999999,0.9321764345591222,0.012176434559122318,0.9199999999999999,0.0,16
b,p11,0.165,0.0,0.0,0.835,0.8603203856963846,0.9175,0.9301601928481923,0.012660192848192309,0.9175,0.0,16
b,p11,0.17,0.0,0.0,0.83,0.8563065951214464,0.915,0.9281532975607232,0.013153297560723143,0.9149999999999999,1.1102230246251565e-16,16
b,p11,0.175,0.0,0.0,0.825,0.8523123242549782,0.9125,0.9261561621274891,0.013656162127489102,0.9125000000000001,1.1102230246251565e-16,16
b,p11,0.18,0.0,0.0,0.8200000000000001,0.848338449558901,0.91,0.9241692247794505,0.014169224779450484,0.9099999999999999,1.1102230246251565e-16,16
b,p11,0.185,0.0,0.0,0.815,0.8443859008789611,0.9075,0.9221929504394806,0.014692950439480601,0.9075,0.0,16
b,p11,0.19,0.0,0.0,0.81,0.8404556655805537,0.905,0.9202278327902769,0.01522783279027684,0.905,0.0,16
