utility_family,beta1,beta2,ideal_gap,classical_bias,quantum_bias,epsilon_threshold
symmetric,0.0,0.0,0.10355339059327373,0.5,0.7071067811865475,0.2928932188134524
asymmetric_half,0.0,0.0,0.10355339059327373,0.5,0.7071067811865475,0.2928932188134524
symmetric,0.005,0.005,0.1017900652377779,0.5,0.7035801304755558,0.2893488909897928
asymmetric_half,0.005,0.0025,0.101605623567109,0.50125,0.704461247134218,0.2884633440957769
symmetric,0.01,0.01,0.10003571246374277,0.5,0.7000714249274855,0.2857871608574929
asymmetric_half,0.01,0.005,0.09966405356964825,0.5025,0.7018281071392964,0.2840127163783347
symmetric,0.015,0.015,0.09829046785693119,0.5,0.6965809357138624,0.2822083201464658
asymmetric_half,0.015,0.0075,0.0977288045758421,0.50375,0.6992076091516843,0.2795415933599805
symmetric,0.02,0.02,0.09655446902326914,0.5,0.6931089380465383,0.2786126789690485
asymmetric_half,0.02,0.01,0.09580000471190486,0.505,0.6966000094238096,0.2750502538498254
symmetric,0.025,0.025,0.09482785560334306,0.5,0.6896557112066861,0.27500056640558623
asymmetric_half,0.025,0.0125,0.09387778645838751,0.5062500000000001,0.6940055729167751,0.2705389988839335
symmetric,0.03,0.03,0.09311076928595519,0.5,0.6862215385719104,0.27137233109799264
asymmetric_half,0.03,0.015,0.09196228686595087,0.5075000000000001,0.6914245737319018,0.2660081529055085
symmetric,0.035,0.035,0.09140335382066767,0.5,0.6828067076413353,0.26772834185067795
asymmetric_half,0.035,0.0175,0.09005364778477565,0.50875,0.6888572955695513,0.2614580650127796
symmetric,0.04,0.04,0.08970575502926059,0.5,0.6794115100585212,0.2640689882381704
asymmetric_half,0.04,0.02,0.0881520161086341,0.51,0.6863040322172682,0.2568891102791224
symmetric,0.045,0.045,0.08801812081602955,0.5,0.6760362416320592,0.2603946812186868
asymmetric_half,0.045,0.0225,0.08625754403473462,0.51125,0.6837650880694691,0.2523016911503121
symmetric,0.05,0.05,0.08634060117684272,0.5,0.6726812023536854,0.2567058537528336
asymmetric_half,0.05,0.025,0.08437038934054275,0.5125,0.6812407786810855,0.24769623892418136
symmetric,0.055,0.055,0.08467334820687467,0.5,0.6693466964137493,0.25300296142653933
asymmetric_half,0.055,0.0275,0.08249071567889543,0.51375,0.6787314313577909,0.24307321531838932
symmetric,0.06,0.06,0.08301651610693428,0.5,0.6660330322138686,0.24928648307724477
asymmetric_half,0.06,0.03,0.08061869289283452,0.515,0.6762373857856692,0.2384331141324575
symmetric,0.065,0.065,0.08137026118829682,0.5,0.6627405223765936,0.24555692142228547
asymmetric_half,0.065,0.0325,0.07875449735171958,0.51625,0.673758994703439,0.23377646301073574
symmetric,0.07,0.07,0.07973474187595087,0.5,0.6594694837519018,0.24181480368831687
asymmetric_half,0.07,0.035,0.07689831231031707,0.5175000000000001,0.6712966246206342,0.22910382531350926
symmetric,0.075,0.075,0.07811011871016715,0.5,0.6562202374203344,0.23806068224054067
asymmetric_half,0.075,0.0375,0.07505032829272418,0.51875,0.6688506565854484,0.22441580210405665
symmetric,0.08,0.08,0.0764965543462901,0.5,0.6529931086925803,0.23429513521038892
asymmetric_half,0.08,0.04,0.07321074350314893,0.52,0.6664214870062979,0.21971303426012456
symmetric,0.085,0.085,0.0748942135526578,0.5,0.6497884271053156,0.23051876712023733
asymmetric_half,0.085,0.0425,0.07137976426576953,0.52125,0.664009528531539,0.2149962047190085
symmetric,0.09,0.09,0.07330326320654423,0.5,0.6466065264130885,0.22673220950360162
asymmetric_half,0.09,0.045,0.0695576054960958,0.5225,0.6616152109921917,0.21026604086621203
symmetric,0.095,0.095,0.0717238722880228,0.5,0.6434477445760456,0.22293612151917686
asymmetric_half,0.095,0.0475,0.06774449120649606,0.5237499999999999,0.6592389824129921,0.2055233170785289
symmetric,0.1,0.1,0.07015621187164245,0.5,0.6403124237432849,0.21913119055696972
asymmetric_half,0.1,0.05,0.0659406550488062,0.5249999999999999,0.6568813100976123,0.20076885743333883
symmetric,0.105,0.105,0.06860045511580803,0.5,0.6372009102316161,0.21531813283465795
asymmetric_half,0.105,0.0525,0.06414634089722837,0.52625,0.6545426817944568,0.19600353859695896
symmetric,0.11,0.11,0.06705677724975379,0.5,0.6341135544995076,0.21149769398220886
asymmetric_half,0.11,0.055,0.06236180347504261,0.5275,0.6522236069500851,0.1912282929060405
symmetric,0.115,0.115,0.06552535555799632,0.5,0.6310507111159926,0.20767064961266546
asymmetric_half,0.115,0.0575,0.06058730902900944,0.52875,0.649924618058019,0.1864441116572717
symmetric,0.12,0.12,0.06400636936215165,0.5,0.6280127387243033,0.20383780587689748
asymmetric_half,0.12,0.06,0.05882313605574274,0.53,0.6476462721114855,0.18165204862205075
symmetric,0.125,0.125,0.0625,0.5,0.625,0.19999999999999996
asymmetric_half,0.125,0.0625,0.057069576084761264,0.53125,0.6453891521695226,0.17685322380432889
symmetric,0.13,0.13,0.06100643080167978,0.5,0.6220128616033596,0.19615810079689922
asymmetric_half,0.13,0.065,0.05532693452343551,0.5325,0.643153869046871,0.17204882746154626
symmetric,0.135,0.135,0.05952584706289066,0.5,0.6190516941257813,0.19231300916461413
