epsilon,alpha,t_env_seconds,classical_bias,quantum_bias,classical_win_probability,noisy_quantum_win_probability,noisy_gap,epsilon_threshold,required_trials,expected_quantum_wins,certification_p_value,previous_round_p_value,required_rate_hz,required_rate_khz,reference_hardware_rate_hz,reference_hardware_rate_pass
0.0,0.05,0.001,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.2928932188134524,34,30,0.04909333272580062,0.0586084097176717,34000.0,34.0,7900.0,False
0.0,0.05,0.1,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.2928932188134524,34,30,0.04909333272580062,0.0586084097176717,340.0,0.34,7900.0,True
0.0,0.05,10.0,0.5,0.7071067811865475,0.75,0.8535533905932737,0.10355339059327373,0.2928932188134524,34,30,0.04909333272580062,0.0586084097176717,3.4,0.0034,7900.0,True
0.001,0.05,0.001,0.5,0.7071067811865475,0.75,0.8531998372026804,0.10319983720268044,0.2928932188134524,34,30,0.04909333272580062,0.0586084097176717,34000.0,34.0,7900.0,False
0.001,0.05,0.1,0.5,0.7071067811865475,0.75,0.8531998372026804,0.10319983720268044,0.2928932188134524,34,30,0.04909333272580062,0.0586084097176717,340.0,0.34,7900.0,True
0.001,0.05,10.0,0.5,0.7071067811865475,0.75,0.8531998372026804,0.10319983720268044,0.2928932188134524,34,30,0.04909333272580062,0.0586084097176717,3.4,0.0034,7900.0,True
0.002,0.05,0.001,0.5,0.7071067811865475,0.75,0.8528462838120872,0.10284628381208716,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
0.002,0.05,0.1,0.5,0.7071067811865475,0.75,0.8528462838120872,0.10284628381208716,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.002,0.05,10.0,0.5,0.7071067811865475,0.75,0.8528462838120872,0.10284628381208716,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.003,0.05,0.001,0.5,0.7071067811865475,0.75,0.852492730421494,0.10249273042149393,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
0.003,0.05,0.1,0.5,0.7071067811865475,0.75,0.852492730421494,0.10249273042149393,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,400.0,0.4,7900.0,True
0.003,0.05,10.0,0.5,0.7071067811865475,0.75,0.852492730421494,0.10249273042149393,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,4.0,0.004,7900.0,True
0.004,0.05,0.001,0.5,0.7071067811865475,0.75,0.8521391770309006,0.10213917703090064,0.2928932188134524,40,35,0.04327398257201562,0.05121657420837901,40000.0,40.0,7900.0,False
