case_id,scenario_id,distance_km,weighted_cost,changed_lever_count,state_infidelity,measurement_infidelity,detector_efficiency,optics_efficiency,tau_rot,tau_meas,tau_dec,tau_link,tau_occ,memory_lifetime,minimum_memory_qubits,memory_depth_sufficient,entanglement_success_probability,gamma_heg,r_heg,epsilon,epsilon_threshold,tau_mem_threshold,n_req,expected_score_threshold_at_n_req,p_value_or_bound_at_n_req,r_req,latency_constrained_regime,theoretical_advantage,memory_model_domain,memory_lifetime_criterion,fidelity_criterion,statistical_certification,rate_criterion,decision_criterion,network_model_domain,overall_operational_quantum_advantage,certification_search_limit_exceeded,constraint_violations,design_state_infidelity_scale,design_measurement_infidelity_scale,design_detector_headroom_fraction,design_optics_headroom_fraction,design_decision_time_scale,design_memory_lifetime_multiplier,design_n_memory_qubits,design_n_channels,cost_state_fidelity,cost_measurement_fidelity,cost_detector_efficiency,cost_optics_efficiency,cost_decision_speed,cost_memory_lifetime,cost_memory_count,cost_channel_count
ding_rate_stress_1s@25km,ding_rate_stress_1s,25.0,0.30102999566398114,1,0.02,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00011904761904761905,0.00012159761904761904,7.9,210,True,0.030118343160867554,1724137.931034483,51928.17786356476,0.034478477588291034,0.07152330911474081,0.008612825425835373,5276,4230,0.04994555210070298,5276.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,1.0,0.0,0.0,1.0,1.0,250,1,0.30102999566398114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ding_rate_stress_1s@25km,ding_rate_stress_1s,25.0,1.0,1,0.04,0.001,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00011904761904761905,0.00012159761904761904,7.9,210,True,0.030118343160867554,1724137.931034483,51928.17786356476,0.05715709461025642,0.07152330911474081,0.022356195155329397,35584,28272,0.04995167937667234,35584.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,0.5,0.0,0.0,1.0,1.0,250,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ding_rate_stress_1s@25km,ding_rate_stress_1s,25.0,0.02127659574468085,1,0.04,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.00011904761904761905,0.00012159761904761904,7.9,210,True,0.030118343160867554,1724137.931034483,103856.35572712951,0.060932237588290916,0.07152330911474081,0.03019478524698656,65629,52065,0.04996130116376458,65629.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,0.0,1.0,1.0,250,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085
ding_rate_stress_1s@25km,ding_rate_stress_1s,25.0,1.0,1,0.04,0.002,0.9,1.0,1e-07,8.7e-07,9.7e-07,0.00011904761904761905,0.00012159761904761904,7.9,210,True,0.047059911188855545,1724137.931034483,81137.77791181991,0.060932237588290916,0.07152330911474081,0.03019478524698656,65629,52065,0.04996130116376458,65629.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,1.0,1.0,1.0,250,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,0.30102999566398114,1,0.02,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.007142184702977588,1038873.663068536,7419.82758469439,0.03451834068881543,0.07152330911474081,0.01704503296615706,5276,4230,0.04994555210070298,5276.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,0.5,1.0,0.0,0.0,1.0,1.0,250,1,0.30102999566398114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,1.0851063829787233,2,0.04,0.001,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.007142184702977588,1038873.663068536,37099.13792347195,0.057197117964289945,0.07152330911474081,0.044243562893702834,35762,28413,0.0499850212670263,35762.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,0.5,0.0,0.0,1.0,1.0,250,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,2.0425531914893615,3,0.04,0.001,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,True,0.007142184702977588,1724137.931034483,36942.334670573735,0.057197117964289945,0.07152330911474081,0.044243562893702834,35762,28413,0.0499850212670263,35762.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,0.5,0.0,0.0,1.0,1.0,419,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0425531914893617
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,2.0638297872340425,3,0.04,0.001,0.9,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.011159663598402479,1038873.663068536,46373.92240433993,0.057197117964289945,0.07152330911474081,0.044243562893702834,35762,28413,0.0499850212670263,35762.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,0.5,0.0,1.0,1.0,1.0,250,4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06382978723404255
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,3.021276595744681,4,0.04,0.001,0.9,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,True,0.011159663598402479,1724137.931034483,38481.59861518097,0.057197117964289945,0.07152330911474081,0.044243562893702834,35762,28413,0.0499850212670263,35762.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,0.5,0.0,1.0,1.0,1.0,419,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.02127659574468085
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,2.0638297872340425,3,0.04,0.001,1.0,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.008817511978984675,1038873.663068536,36641.12387503402,0.057197117964289945,0.07152330911474081,0.044243562893702834,35762,28413,0.0499850212670263,35762.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,0.5,1.0,0.0,1.0,1.0,250,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06382978723404255
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,3.0425531914893615,4,0.04,0.001,1.0,1.0,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.013777362467163552,1038873.663068536,42938.81704105549,0.057197117964289945,0.07152330911474081,0.044243562893702834,35762,28413,0.0499850212670263,35762.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,0.5,1.0,1.0,1.0,1.0,250,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0425531914893617
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,0.1702127659574468,1,0.04,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,False,0.007142184702977588,1038873.663068536,66778.44826224951,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,0.0,1.0,1.0,250,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702127659574468
ding_rate_stress_1s@50km,ding_rate_stress_1s,50.0,1.1063829787234043,2,0.04,0.002,0.9,0.8,1e-07,8.7e-07,9.7e-07,0.0002380952380952381,0.0002406452380952381,7.9,415,True,0.007142184702977588,1724137.931034483,73884.66934114747,0.060972100688815534,0.07152330911474081,0.05975636152999117,66133,52464,0.049955612031990254,66133.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,False,,1.0,1.0,0.0,0.0,1.0,1.0,419,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10638297872340426
