dominant_bottleneck,gap,gap_change_from_ding,n_req,order,p_value_or_bound,r_heg,r_req,retained_fraction,scenario_id,stage,statistics_method,status,t_comm,t_loc,tau_dec
,0.10355339059327373,,,1,,,,,uniform_chsh_reference,ding_jiang_ideal,,PASS,,,
,0.10355339059327373,0.0,,2,,,,,uniform_chsh_reference,li_generalized_ideal,,PASS,,,
,0.08199627216512517,,,3,,,,0.7918260493003231,uniform_chsh_reference,physical_infidelity,,PASS,,,
,,,65,4,0.04465774483455032,,,,uniform_chsh_reference,finite_statistics,exact_binomial,PASS,,,
,,,,5,,7854.545454545455,65.0,,uniform_chsh_reference,heg_rate,,PASS,,,
,,,,6,,,,,uniform_chsh_reference,local_decision_latency,,PASS,,1e-05,9.7e-07
fidelity_criterion,,,,7,,,,,uniform_chsh_reference,overall_operational_feasibility,,PASS,0.00024,,
,0.02233955881380112,,,1,,,,,ding_representative_10s,ding_jiang_ideal,,PASS,,,
,0.02233955881380123,1.1102230246251565e-16,,2,,,,,ding_representative_10s,li_generalized_ideal,,PASS,,,
,0.0032953605730592916,,,3,,,,0.1475123390092843,ding_representative_10s,physical_infidelity,,PASS,,,
,,,66133,4,0.049955612031990254,,,,ding_representative_10s,finite_statistics,general_score_bound,PASS,,,
,,,,5,,7854.545454545455,6613.3,,ding_representative_10s,heg_rate,,PASS,,,
,,,,6,,,,,ding_representative_10s,local_decision_latency,,PASS,,1e-05,9.7e-07
fidelity_criterion,,,,7,,,,,ding_representative_10s,overall_operational_feasibility,,PASS,0.00024,,
,0.02233955881380112,,,1,,,,,ding_representative_1s_rate_limited,ding_jiang_ideal,,PASS,,,
,0.02233955881380123,1.1102230246251565e-16,,2,,,,,ding_representative_1s_rate_limited,li_generalized_ideal,,PASS,,,
,0.0032953605730592916,,,3,,,,0.1475123390092843,ding_representative_1s_rate_limited,physical_infidelity,,PASS,,,
,,,66133,4,0.049955612031990254,,,,ding_representative_1s_rate_limited,finite_statistics,general_score_bound,PASS,,,
,,,,5,,7854.545454545455,66133.0,,ding_representative_1s_rate_limited,heg_rate,,FAIL,,,
,,,,6,,,,,ding_representative_1s_rate_limited,local_decision_latency,,PASS,,1e-05,9.7e-07
rate_criterion,,,,7,,,,,ding_representative_1s_rate_limited,overall_operational_feasibility,,FAIL,0.00024,,
,0.08634060117684272,,,1,,,,,correlated_asymmetric_generalized,ding_jiang_ideal,,PASS,,,
,0.04039660069381057,-0.045944000483032155,,2,,,,,correlated_asymmetric_generalized,li_generalized_ideal,,PASS,,,
,0.019031960390681113,,,3,,,,0.4711277697580412,correlated_asymmetric_generalized,physical_infidelity,,PASS,,,
,,,1772,4,0.04958773811589441,,,,correlated_asymmetric_generalized,finite_statistics,general_score_bound,PASS,,,
,,,,5,,7854.545454545455,1772.0,,correlated_asymmetric_generalized,heg_rate,,PASS,,,
,,,,6,,,,,correlated_asymmetric_generalized,local_decision_latency,,PASS,,1e-05,9.7e-07
fidelity_criterion,,,,7,,,,,correlated_asymmetric_generalized,overall_operational_feasibility,,PASS,0.00024,,
,0.07015621187164245,,,1,,,,,correlated_asymmetric_fidelity_limited,ding_jiang_ideal,,PASS,,,
,0.004120576505835083,-0.06603563536580737,,2,,,,,correlated_asymmetric_fidelity_limited,li_generalized_ideal,,PASS,,,
,-0.018385715878040443,,,3,,,,-4.461928046234482,correlated_asymmetric_fidelity_limited,physical_infidelity,,FAIL,,,
,,,,4,,,,,correlated_asymmetric_fidelity_limited,finite_statistics,general_score_bound,FAIL,,,
,,,,5,,7854.545454545455,,,correlated_asymmetric_fidelity_limited,heg_rate,,FAIL,,,
,,,,6,,,,,correlated_asymmetric_fidelity_limited,local_decision_latency,,PASS,,1e-05,9.7e-07
fidelity_criterion,,,,7,,,,,correlated_asymmetric_fidelity_limited,overall_operational_feasibility,,FAIL,0.00024,,
,0.10355339059327373,,,1,,,,,decision_latency_limited,ding_jiang_ideal,,PASS,,,
,0.10355339059327373,0.0,,2,,,,,decision_latency_limited,li_generalized_ideal,,PASS,,,
,0.08199627216512517,,,3,,,,0.7918260493003231,decision_latency_limited,physical_infidelity,,PASS,,,
,,,65,4,0.04465774483455032,,,,decision_latency_limited,finite_statistics,exact_binomial,PASS,,,
,,,,5,,7854.545454545455,65.0,,decision_latency_limited,heg_rate,,PASS,,,
,,,,6,,,,,decision_latency_limited,local_decision_latency,,FAIL,,5e-07,9.7e-07
decision_criterion,,,,7,,,,,decision_latency_limited,overall_operational_feasibility,,FAIL,0.00024,,
,0.0,,,1,,,,,utility_flat_limit,ding_jiang_ideal,,FAIL,,,
,0.0,0.0,,2,,,,,utility_flat_limit,li_generalized_ideal,,FAIL,,,
,-0.015243184623385336,,,3,,,,,utility_flat_limit,physical_infidelity,,FAIL,,,
,,,,4,,,,,utility_flat_limit,finite_statistics,general_score_bound,FAIL,,,
,,,,5,,7854.545454545455,,,utility_flat_limit,heg_rate,,FAIL,,,
,,,,6,,,,,utility_flat_limit,local_decision_latency,,PASS,,1e-05,9.7e-07
theoretical_advantage,,,,7,,,,,utility_flat_limit,overall_operational_feasibility,,FAIL,0.00024,,
,0.10355339059327373,,,1,,,,,communication_regime_invalid,ding_jiang_ideal,,PASS,,,
,0.10355339059327373,0.0,,2,,,,,communication_regime_invalid,li_generalized_ideal,,PASS,,,
,0.08199627216512517,,,3,,,,0.7918260493003231,communication_regime_invalid,physical_infidelity,,PASS,,,
,,,65,4,0.04465774483455032,,,,communication_regime_invalid,finite_statistics,exact_binomial,PASS,,,
,,,,5,,7854.545454545455,65.0,,communication_regime_invalid,heg_rate,,PASS,,,
,,,,6,,,,,communication_regime_invalid,local_decision_latency,,PASS,,0.00024,9.7e-07
latency_constrained_regime,,,,7,,,,,communication_regime_invalid,overall_operational_feasibility,,FAIL,0.00024,,
