metric,actual,expected,absolute_error,relative_error,tolerance,status,provenance
tpi_success_probability,0.24499999999999997,0.25,0.005000000000000032,0.02000000000000013,0.0051,PASS,"Table III and Figure 6, displayed to two decimal places"
tau_e_seconds,5.8e-07,5.8e-07,0.0,0.0,5e-10,PASS,"Table III, 580 ns"
intrinsic_heg_rate_hz,422413.79310344823,430000.0,7586.206896551768,0.017642341619887834,5000.0,FAIL,"Table III, 4.3e5 s^-1; displayed two-significant-figure half-unit interval"
attenuation_law_transmission,0.05623413251903491,0.06,0.0037658674809650863,0.06276445801608478,0.005,PASS,"Table III, eta_att=0.06 from 0.25 dB/km and 50 km"
entanglement_success_probability,0.007620480000000001,0.0077,7.951999999999959e-05,0.010327272727272675,5e-05,FAIL,"Equation 59, 7.7e-3; displayed two-significant-figure half-unit interval"
propagation_latency_seconds,0.0002380952380952381,0.00024,1.904761904761911e-06,0.007936507936507962,5e-06,PASS,"Table III, 240 us from L/v_g"
tau_dec_seconds,9.7e-07,1e-06,2.9999999999999925e-08,0.029999999999999926,5e-08,PASS,"Table III, 1 us from 100 ns plus 870 ns"
tau_occ_seconds,0.00024255000000000001,0.000244,1.449999999999981e-06,0.005942622950819595,5e-07,FAIL,"Table III, 244 us; displayed nearest microsecond"
false_positive_fraction,0.001259763164525069,0.0012,5.9763164525069136e-05,0.049802637104224286,5e-05,FAIL,"Text following Equation 59, 0.12%"
combined_infidelity_upper_bound,0.06089151999999998,0.061,0.00010848000000002189,0.0017783606557380638,0.0005,PASS,"Equation 61 and Table III, epsilon < 6.1%"
r_heg_hz,7854.545454545455,7900.0,45.45454545454504,0.005753739930955068,50.0,PASS,"Table III, 7.9e3 s^-1; displayed two-significant-figure half-unit interval"
